"campaignid","sample","latitude","longitude","broad.macroalgae","broad.seagrasses","broad.unconsolidated","broad.sponges","broad.consolidated","broad.stony.corals","broad.ascidians","broad.bryozoa","broad.crinoids","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.true.anemones","broad.sea.stars","broad.total.points.annotated","sessile.inverts"
"2020-10_south-west_stereo-BRUVs","IO192","-33.98618897","114.6688721",0,0,30,1,0,0,0,0,0,0,1,0,0,0,32,2
"2020-10_south-west_stereo-BRUVs","IO194","-33.99618897","114.6638721",0,0,33,0,0,0,0,0,0,0,1,0,0,0,34,1
"2020-10_south-west_stereo-BRUVs","IO195","-34.09368897","114.8588721",11,7,12,0,6,0,0,0,0,0,0,0,0,0,36,0
"2020-10_south-west_stereo-BRUVs","IO199","-34.08618897","114.8613721",21,5,1,1,6,2,0,0,0,0,0,0,0,0,36,3
"2020-10_south-west_stereo-BRUVs","IO201","-34.05618897","114.8338721",9,1,5,1,15,0,0,1,0,0,0,0,0,0,32,2
"2020-10_south-west_stereo-BRUVs","IO204","-34.06618897","114.7863721",2,0,19,8,1,0,0,0,0,0,2,0,0,0,32,10
"2020-10_south-west_stereo-BRUVs","IO206","-34.06368897","114.7913721",0,0,19,4,7,0,0,0,0,0,1,0,0,0,31,5
"2020-10_south-west_stereo-BRUVs","IO207","-34.06118897","114.7863721",7,0,13,2,7,0,0,0,0,0,1,0,0,0,30,3
"2020-10_south-west_stereo-BRUVs","IO210","-34.09118897","114.8738721",16,1,3,4,5,0,0,0,0,0,0,0,0,0,29,4
"2020-10_south-west_stereo-BRUVs","IO211","-34.05618897","114.9063721",9,17,0,5,0,0,0,0,0,0,0,0,0,0,31,5
"2020-10_south-west_stereo-BRUVs","IOC06","-34.048689","114.876372",7,17,1,1,8,0,0,0,0,0,0,0,0,0,34,1
"2020-10_south-west_stereo-BRUVs","IO216","-34.06118897","114.9163721",15,0,11,3,6,0,0,0,0,0,0,0,0,0,35,3
"2020-10_south-west_stereo-BRUVs","IO217","-34.06618897","114.9188721",4,0,28,1,4,0,0,0,0,0,0,0,0,0,37,1
"2020-10_south-west_stereo-BRUVs","IO218","-34.07368897","114.9213721",1,0,24,0,3,0,0,0,0,0,0,0,0,0,28,0
"2020-10_south-west_stereo-BRUVs","IO220","-34.05618897","114.8438721",25,0,1,0,4,0,0,0,0,0,0,0,0,0,30,0
"2020-10_south-west_stereo-BRUVs","IO222","-34.06618897","114.8313721",13,0,9,0,6,0,0,0,0,0,0,0,0,0,28,0
"2020-10_south-west_stereo-BRUVs","IO223","-34.07118897","114.8463721",5,0,17,1,3,0,0,0,0,0,0,0,0,0,26,1
"2020-10_south-west_stereo-BRUVs","IO224","-34.06118897","114.8388721",10,1,2,1,16,0,0,0,0,0,0,0,0,0,30,1
"2020-10_south-west_stereo-BRUVs","IO225","-34.07118897","114.8338721",25,0,4,1,5,0,0,0,0,0,0,0,0,0,35,1
"2020-10_south-west_stereo-BRUVs","IO226","-34.06368897","114.8438721",15,0,8,1,7,0,0,0,0,0,0,0,0,0,31,1
"2020-10_south-west_stereo-BRUVs","IO227","-33.99868897","114.7838721",11,0,12,2,4,0,0,0,0,0,0,0,0,0,29,2
"2020-10_south-west_stereo-BRUVs","IO228","-34.00368897","114.7938721",8,1,1,8,12,2,0,3,0,0,0,0,0,0,35,13
"2020-10_south-west_stereo-BRUVs","IO229","-33.99368897","114.7863721",17,0,7,3,7,0,0,0,0,0,0,0,0,0,34,3
