campaignid,sample,latitude,longitude,date,time.bottom,site,location,visibility,image,fov.Limited,fov.Open,mean.relief,sd.relief,broad.Consolidated,broad.Macroalgae,broad.Seagrasses,broad.Sponges,broad.Stony corals,broad.Unconsolidated,broad.Unknown,Total.Sum
2021-04_FRDC_BOSS,C619,-32.13760833,115.6528767,8/04/2021,14:57:40,Garden Island,Perth,Moderate,Top,0,100,3.511627907,0.505780539,11,11,0,3,0,0,38,63
2021-04_FRDC_BOSS,C607,-32.13317333,115.6474633,8/04/2021,15:06:34,Garden Island,Perth,Moderate,Top,0,100,3,0,0,38,0,0,0,1,5,44
2021-04_FRDC_BOSS,C647,-32.13462167,115.6307917,8/04/2021,15:19:49,Garden Island,Perth,Poor,Top,0,100,2.608695652,0.682422511,1,43,0,0,0,13,13,70
2021-04_FRDC_BOSS,C644,-32.13616,115.5999533,8/04/2021,15:35:47,Garden Island,Perth,Moderate,Top,0,100,2.75,0.503952631,0,69,0,0,0,7,2,78
2021-04_FRDC_BOSS,C660,-32.13988667,115.6061967,8/04/2021,15:44:38,Garden Island,Perth,Good,Top,0,100,0.040816327,0.199914948,0,1,0,0,0,76,0,77
2021-04_FRDC_BOSS,C616,-32.15019167,115.6049333,8/04/2021,15:57:39,Garden Island,Perth,Good,Top,0,100,3,0,0,72,0,0,0,0,1,73
2021-04_FRDC_BOSS,C628,-32.152325,115.6144533,8/04/2021,16:08:47,Garden Island,Perth,Poor,Top,0,100,3,0,0,52,0,0,0,1,11,64
2021-04_FRDC_BOSS,C620,-32.162965,115.597515,8/04/2021,16:22:30,Garden Island,Perth,Moderate,Top,0,100,2.307692308,0.780609655,0,57,7,0,0,14,2,80
2021-04_FRDC_BOSS,C631,-32.16088,115.6327117,8/04/2021,16:37:35,Garden Island,Perth,Moderate,Top,0,100,0.1,0.30382181,0,0,0,0,0,71,0,71
2021-04_FRDC_BOSS,C711,-31.53386333,115.5450067,9/04/2021,7:15:05,Two Rocks,Perth,Good,Bottom,0,100,3,0,0,62,0,0,0,0,6,68
2021-04_FRDC_BOSS,C723,-31.53924667,115.5402217,9/04/2021,7:24:53,Two Rocks,Perth,Moderate,Bottom,0,100,1.047619048,0.215540269,0,22,0,0,0,45,0,67
2021-04_FRDC_BOSS,C754,-31.54712167,115.5457667,9/04/2021,7:35:09,Two Rocks,Perth,Moderate,Bottom,0,100,2.025641026,1.012739367,0,52,0,0,0,19,4,75
2021-04_FRDC_BOSS,C738,-31.54648,115.5556417,9/04/2021,7:44:55,Two Rocks,Perth,Good,Bottom,0,100,2.022222222,0.3982284,0,62,0,0,0,4,4,70
2021-04_FRDC_BOSS,C722,-31.560155,115.5747767,9/04/2021,7:58:54,Two Rocks,Perth,Moderate,Bottom,0,100,3.482758621,0.599455288,0,74,0,0,0,0,0,74
2021-04_FRDC_BOSS,C710,-31.56831667,115.5799283,9/04/2021,8:09:49,Two Rocks,Perth,Moderate,Bottom,0,100,0,0,0,0,0,0,0,74,0,74
2021-04_FRDC_BOSS,C736,-31.57767167,115.5884667,9/04/2021,8:20:13,Two Rocks,Perth,Good,Bottom,1.25,98.75,0.108108108,0.314800094,0,0,0,0,0,69,1,70
2021-04_FRDC_BOSS,C740,-31.54231833,115.5947067,9/04/2021,8:38:14,Two Rocks,Perth,Good,Bottom,0,100,0.175,0.384807644,0,0,0,0,0,66,0,66
2021-04_FRDC_BOSS,C724,-31.54873667,115.5953233,9/04/2021,8:46:45,Two Rocks,Perth,Good,Bottom,0,100,0.075,0.266746783,0,0,0,0,0,66,0,66
2021-04_FRDC_BOSS,C712,-31.55413167,115.60013,9/04/2021,8:55:23,Two Rocks,Perth,Good,Bottom,0,100,0.05,0.220721428,0,0,0,0,0,65,0,65
